date,adj_close,close,high,low,open,volume,ticker,group,vol_chg_rate,volume_ma20_ratio,daily_return,volatility_5d,drawdown_after_peak_5d,upper_shadow_ratio,body_ratio,upper_shadow_streak_5d,anomaly_score,anomaly_label,cluster
2026-04-23,94700.0,94700.0,96500.0,94000.0,96400.0,178673.0,000100.KS,Medium,-0.07541265284075689,-0.0743273953079085,-0.1877408127629636,-1.0715382811118126,-0.23360090000367084,-1.0651793944735648,0.2045110645392677,-0.4249501072143082,0.029268706006924217,1,2
2026-05-06,1601000.0,1601000.0,1614000.0,1557000.0,1590000.0,6631934.0,000660.KS,Large,-0.0631014666466851,0.8586333994002389,4.237717192666658,2.563864317155144,-0.8710861517993055,-0.24316081410448218,-0.4895466699101567,0.5344808103009175,0.03751996974722571,1,2
2026-04-22,40100.0,40100.0,40650.0,39550.0,40400.0,580554.0,004020.KS,Large,-0.8213056600652249,-0.4333424686611243,-0.267330679359454,0.26300617564433765,-0.7108403541655605,-0.2466463067281637,-0.37590085276818913,-1.3843810247295338,0.07178169225059972,1,2
2026-03-27,369500.0,375500.0,375500.0,368000.0,371000.0,13403.0,004370.KS,Medium,-0.5260751006887501,-0.7117322760831057,0.19470450639286227,0.020430404151455365,-0.6563581045644358,-1.2400117044774368,0.09050158078244575,-0.4249501072143082,0.07944794509525988,1,2
2026-05-14,389500.0,389500.0,391000.0,370000.0,370500.0,72272.0,004370.KS,Medium,0.9966897257086238,2.9360061956324857,2.8416653282339657,0.8638363424902697,-0.9721628737834914,-0.9278111508990939,0.5248234236655767,0.5344808103009175,0.05474821722601109,1,1
2026-05-18,395000.0,395000.0,409000.0,385000.0,402500.0,47225.0,004370.KS,Medium,-0.69543971429296,0.9673564424185781,-0.420506225532212,0.8866845025596711,-0.24387300658851965,-0.056251272159552765,-0.3192200014686328,-0.4249501072143082,0.03011421472384601,1,2
2026-05-21,393500.0,393500.0,397000.0,388000.0,394000.0,34718.0,004370.KS,Medium,-0.10984145971233722,0.22503940247892582,0.03140018489921141,-0.5266387667553425,-0.09976366852139619,0.21692421222149744,-0.6853962947848142,-0.4249501072143082,0.042040155158949766,1,2
2026-03-27,340969.28125,342500.0,343000.0,327000.0,335500.0,276285.0,005490.KS,Large,-0.14684450006528993,-0.5149957552288167,-0.01949190027214926,0.7669812091955978,-0.4838119899685679,-1.1034239622869118,-0.14108018309859863,0.5344808103009175,0.03230626358131017,1,2
2026-04-03,162000.0,162000.0,166600.0,161800.0,165000.0,98811.0,005830.KS,Medium,-0.7050057919636995,-0.8671652631833141,-0.06881517887226023,0.4711859562725236,0.3944688290711903,0.21692421222149744,0.1261295444564526,1.4939117278161431,0.013209766763246922,1,2
2026-04-01,31850.0,31850.0,32100.0,30800.0,31050.0,898244.0,005940.KS,Medium,-0.6542369594538965,-0.22534747020010407,3.021138255996613,2.7000871135234297,1.1855458947362805,-0.399471752535744,0.11242648150491157,-0.4249501072143082,0.09095753879507673,1,0
2026-04-20,538000.0,538000.0,549000.0,509000.0,515000.0,827022.0,006400.KS,Large,-0.4893097492794993,0.07335776061293432,1.929883291964265,0.7802670700097185,-0.5839754848352073,-0.038039573200815906,0.05487361710843888,-1.3843810247295338,0.054155933057762895,1,2
2026-03-26,36800.0,36800.0,46450.0,35450.0,45350.0,10598663.0,009830.KS,Large,4.423624799926018,1.1043862114207357,-3.560545085842484,3.946340857747573,5.357706218204861,-0.8029309294677566,0.3431362322890396,0.5344808103009175,0.06420013955627346,1,0
2026-03-30,78754.8671875,80000.0,80000.0,77000.0,78000.0,80080.0,011210.KS,Medium,-0.3020472593610407,-0.9336535657951086,-0.8518297730503032,-0.07656603449729135,0.23881053718353365,-1.2400117044774368,0.1855094839131306,-0.4249501072143082,0.008761793566247955,1,2
2026-04-21,44400.0,44400.0,44900.0,43050.0,44150.0,253990.0,023160.KQ,Small,-0.28689782264757396,-0.7849629384122749,0.298338125395091,-0.545716479381194,-0.18045688209540212,-0.0587123125593819,-0.5719859599666542,-0.4249501072143082,0.009367089204840084,1,2
2026-05-21,355000.0,355000.0,359000.0,331500.0,339500.0,436740.0,032830.KS,Large,-0.3117955701368167,-0.21588151526311053,5.4934910953103016,3.0724664429902986,-0.7971025028880696,-0.6042578499179021,0.038679088165708524,0.5344808103009175,0.017018422806462152,1,2
2026-05-11,12610.0,12610.0,12800.0,12240.0,12340.0,5274242.0,034220.KS,Large,0.5279002051720256,-0.314468903646393,0.8888884812780176,0.11282215388949034,-0.3273626316611407,0.24294092501969283,-0.07745881939501506,-0.4249501072143082,0.020103476036257395,1,2
2026-04-07,83000.0,83000.0,86200.0,82000.0,84800.0,68472.0,041510.KQ,Small,0.4524387318976052,-0.29617213674599924,-0.8685735288151236,0.1210955946737002,1.0664528709586334,0.21692421222149744,-0.15380445583931546,0.5344808103009175,0.04058554909033685,1,2
2026-04-03,128000.0,128000.0,129400.0,120600.0,122200.0,1301116.0,042660.KS,Medium,-0.4509185748257429,0.013000567314578096,2.897610000975242,2.39354604146992,-0.320377397050046,-0.5446559260529454,0.1747131312846437,0.5344808103009175,0.05188452308749947,1,2
2026-03-31,15550.0,15550.0,17650.0,15510.0,17530.0,18352582.0,047040.KS,Medium,-0.6320126007529535,-0.34162600781729063,-3.560545085842484,2.8640876523511976,1.7869161716334978,-0.994919681107523,0.5539980801676563,-0.4249501072143082,0.0008226358001074408,1,0
